"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:37:22 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2017"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","17","14","268","239","538"
"18-24","36","19","287","714","1,056"
"25-34","36","26","226","1,168","1,456"
"35-44","30","13","84","622","749"
"45-54","7","9","38","366","420"
"55-64","3","7","13","149","172"
"65 and above","0","0","2","23","25"
"Under 10","0","0","0","3","3"
