"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:38:48 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2023"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","22","9","161","282","474"
"18-24","75","12","185","684","956"
"25-34","43","36","228","1,311","1,618"
"35-44","48","32","110","857","1,047"
"45-54","14","21","40","373","448"
"55-64","3","16","11","145","175"
"65 and above","2","1","3","37","43"
"Under 10","0","0","0","1","1"
