"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:38:33 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2022"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","21","18","120","187","346"
"18-24","55","25","246","711","1,037"
"25-34","51","41","269","1,366","1,727"
"35-44","39","29","127","843","1,038"
"45-54","13","16","42","313","384"
"55-64","4","10","16","168","198"
"65 and above","1","5","3","33","42"
"Under 10","0","0","0","2","2"
