"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:39:04 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2024"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","13","38","124","235","410"
"18-24","41","20","238","692","991"
"25-34","40","25","263","1,387","1,715"
"35-44","36","33","139","952","1,160"
"45-54","10","13","36","409","468"
"55-64","4","2","15","195","216"
"65 and above","3","3","2","59","67"
"Under 10","0","0","0","4","4"
