"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:37:39 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2018"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","8","32","230","227","497"
"18-24","50","14","288","678","1,030"
"25-34","41","29","250","1,221","1,541"
"35-44","20","22","87","670","799"
"45-54","12","2","35","330","379"
"55-64","4","4","8","170","186"
"65 and above","2","0","0","39","41"
"Under 10","0","0","0","6","6"
