"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:37:58 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2019"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","15","28","153","269","465"
"18-24","56","16","320","692","1,084"
"25-34","46","17","327","1,281","1,671"
"35-44","24","11","129","730","894"
"45-54","7","8","45","347","407"
"55-64","7","7","16","144","174"
"65 and above","0","1","1","45","47"
"Under 10","0","0","0","3","3"
