"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:39:22 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2025"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","10","7","70","159","246"
"18-24","44","13","132","561","750"
"25-34","29","19","183","943","1,174"
"35-44","19","16","105","651","791"
"45-54","13","9","26","353","401"
"55-64","1","2","16","158","177"
"65 and above","8","0","1","53","62"
"Under 10","0","0","0","0","0"
