"Violent Crime Arrestee Age (Combined)"
"Current date: 11/11/2025 12:26:42 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Age"
"Measures: Number of Arrestees"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2020"
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Age"
"10-17","9","11","129","217","366"
"18-24","42","28","253","792","1,115"
"25-34","43","23","285","1,389","1,740"
"35-44","35","30","103","782","950"
"45-54","15","11","27","375","428"
"55-64","5","2","7","182","196"
"65 and above","4","2","2","35","43"
"Under 10","0","0","0","0","0"
