"Violent Crime Arrestee Race (Combined)"
"Current date: 11/10/2025 4:42:22 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Race"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2024"
"Measures","Number of Arrestees",,,,,
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Race"
"White","85","73","474","2,468","3,100"
"Black or African American","57","41","298","1,172","1,568"
"American Indian or Alaska Native","3","18","44","261","326"
"Asian","2","2","1","32","37"
"Native Hawaiian or Other Pacific Islander","0","0","0","0","0"
