"Violent Crime Arrestee Race (Combined)"
"Current date: 11/10/2025 4:39:54 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Race"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2017"
"Measures","Number of Arrestees",,,,,
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Race"
"White","72","56","549","2,166","2,843"
"Black or African American","51","26","350","877","1,304"
"American Indian or Alaska Native","5","6","18","213","242"
"Asian","1","0","1","28","30"
"Native Hawaiian or Other Pacific Islander","0","0","0","0","0"
