"Violent Crime Arrestee Race (Combined)"
"Current date: 11/10/2025 4:40:44 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Arrestee Race"
"Jurisdiction by Geography: Phoenix PD"
"Summary Arrest Date: 2019"
"Measures","Number of Arrestees",,,,,
"Arrest Offense","Murder and Nonnegligent Manslaughter","Rape Total","Robbery Total","Aggravated Assault Total","Violent Crime",
"Arrestee Race"
"White","97","61","621","2,277","3,056"
"Black or African American","49","25","329","952","1,355"
"American Indian or Alaska Native","9","2","37","245","293"
"Asian","0","0","4","37","41"
"Native Hawaiian or Other Pacific Islander","0","0","0","0","0"
